name;essai;tube;fenetre;date;time;rep;user;dpi;width;height;surface0;surface1;sqrtSurface0;sqrtSurface1;length;radius;longueur_mm;diam_mm;surfwin_cm2;DRL_mm.cm2;Prof_cm;date_excl
Fourques_T4_L7_30.04.19_153415_3_md;Fourques;T4;L7;30.04.19;153415;3;md;300;2550;2310;5887491;3009;2426.415283;54.854351;301;3.957747;25.48466667;0.33509;422.25722;0.060353418;6.9;30/04/2019
Fourques_T4_L6_30.04.19_153300_3_md;Fourques;T4;L6;30.04.19;153300;3;md;300;2550;2310;5843580;46920;2417.349854;216.610245;6364;3.153378;538.8186667;0.26699;422.25722;1.276043703;20.7;30/04/2019
Fourques_T4_L5_30.04.19_153105_3_md;Fourques;T4;L5;30.04.19;153105;3;md;300;2550;2310;5667972;222528;2380.750244;471.728729;27695;3.352889;2344.843333;0.28388;422.25722;5.553116021;34.6;30/04/2019
Fourques_T4_L4_30.04.19_152922_3_md;Fourques;T4;L4;30.04.19;152922;3;md;300;2550;2310;5746019;144481;2397.085449;380.106567;19505;3.2762;1651.423333;0.27738;422.25722;3.910941614;48.4;30/04/2019
Fourques_T4_L3_30.04.19_152537_3_md;Fourques;T4;L3;30.04.19;152537;3;md;300;2550;2310;5861177;29323;2420.986816;171.239594;4011;3.274336;339.598;0.27723;422.25722;0.804244389;62.2;30/04/2019
Fourques_T4_L2_30.04.19_152225_3_md;Fourques;T4;L2;30.04.19;152225;3;md;300;2550;2310;5888352;2148;2426.592773;46.346519;352;2.782178;29.80266667;0.23556;422.25722;0.070579413;76.1;30/04/2019
Fourques_T4_L1_30.04.19_152023_3_md;Fourques;T4;L1;30.04.19;152023;3;md;300;2550;2310;5843918;46582;2417.419678;215.828629;7009;3.056426;593.4286667;0.25878;422.25722;1.405372457;89.9;30/04/2019
Fourques_T3_L7_30.04.19_151438_3_md;Fourques;T3;L7;30.04.19;151438;3;md;300;2550;2310;5890500;0;2427.035156;0;0;nan;0;#VALEUR!;422.25722;0;6.9;30/04/2019
Fourques_T3_L7_30.04.19_121757_6_md;Fourques;T3;L7;30.04.19;121757;6;md;300;2550;2310;5867759;22741;2422.345703;150.801193;2764;3.520129;234.0186667;0.29804;422.25722;0.554208799;6.9;30/04/2019
Fourques_T3_L7_17.04.19_123203_5_md;Fourques;T3;L7;17.04.19;123203;5;md;300;2550;2310;5870869;19631;2422.987549;140.110672;2272;3.640471;192.3626667;0.30823;422.25722;0.455558029;6.9;17/04/2019
Fourques_T3_L7_14.05.19_101432_8_md;Fourques;T3;L7;14.05.19;101432;8;md;300;2550;2310;5866263;24237;2422.036865;155.682373;3149;3.304749;266.6153333;0.2798;422.25722;0.631405032;6.9;14/05/2019
Fourques_T3_L7_06.06.19_164919_10_md;Fourques;T3;L7;06.06.19;164919;10;md;300;2550;2310;5884697;5803;2425.839355;76.177422;1081;2.559322;91.52466667;0.21669;422.25722;0.216750981;6.9;06/06/2019
