;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.014938236139040505, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.013214593507612756, 0.002298190175237001, 0.0, 0.048261993679977015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010341855788566504, 0.06492387245044527, 0.0, 0.0, 0.06478023556449296, 0.04380925021545533, 0.0, 0.0, 0.06090203964378052, 0.018960068945705257]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010629129560471129, 0.01407641482332663, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.013789141051422005, 0.0, 0.0, 0.03906923297902901, 0.07124389543234702, 0.004021832806664752, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.005745475438092502, 0.04136742315426602, 0.005745475438092502, 0.0, 0.0, 0.0, 0.0, 0.0008618213157138753, 0.01292731973570813, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.02585463947141626, 0.03447285262855501, 0.02585463947141626, 0.0, 0.0, 0.004596380350474002, 0.0017236426314277506, 0.0, 0.0, 0.012065498419994254, 0.0, 0.0, 0.0011490950876185005, 0.012640045963803505]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005745475438092502, 0.0034472852628555013]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.02585463947141626, 0.014938236139040505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03533467394426889, 0.0]
10;100.0;[0.0, 0.0017236426314277506, 0.030020109164033325, 0.014794599253088193, 0.002872737719046251, 0.0, 0.0011490950876185005, 0.005170927894283252, 0.0, 0.0, 0.018816432059752943, 0.04898017810973858, 0.02528009192760701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04668198793450158, 0.0]
11;110.0;[0.0, 0.10456765297328353, 0.06779661016949153, 0.02930192473427176, 0.0, 0.0, 0.0, 0.04021832806664752, 0.05285837403045102, 0.013789141051422005, 0.024130996839988508, 0.0, 0.05975294455616202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04725653547831083, 0.0]
