;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04711289859235852, 0.012065498419994254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011490950876185005, 0.002872737719046251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05400746911806952, 0.03447285262855501, 0.05285837403045102, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013789141051422005, 0.09221488078138466, 0.10600402183280666, 0.05975294455616202, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0017236426314277506, 0.07066934788853778, 0.35650675093363976, 0.11174949727089917, 0.08445848893995977, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08618213157138753, 0.04711289859235852, 0.015512783682849756, 0.03231829933927032, 0.044671071531169206, 0.14808962941683423, 0.05975294455616202, 0.08790577420281528, 0.04438379775926458, 0.02298190175237001, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005745475438092502, 0.012640045963803505, 0.0, 0.008618213157138753, 0.0, 0.0, 0.019534616489514506, 0.1350186727951738, 0.061045676529732834, 0.032749209997127264, 0.046825624820453896, 0.019965527147371445, 0.010916403332375754, 0.037345590347601265]
6;60.0;[0.0, 0.010629129560471129, 0.019247342717609882, 0.0, 0.0, 0.0, 0.005170927894283252, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.02010916403332376, 0.08374030451019822, 0.08675667911519679, 0.021832806664751507, 0.03562194771617351, 0.030738293593794888, 0.07986210858948578, 0.11605860384946855, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036771042803792016, 0.08287848319448435, 0.10973858086756678, 0.016661878770468257, 0.09422579718471703, 0.06549841999425453, 0.05170927894283252, 0.06664751508187303, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037920137891410514, 0.008618213157138753, 0.0, 0.0560183855214019, 0.1407641482332663, 0.0, 0.04596380350474002, 0.021832806664751507, 0.06032749209997127, 0.03993105429474289, 0.047687446136167766, 0.0]
9;90.0;[0.0, 0.006320022981901752, 0.0412237862683137, 0.012209135305946568, 0.0, 0.0, 0.0, 0.0, 0.038494685435219764, 0.05688020683711577, 0.10930767020970986, 0.11390405056018385, 0.016087331226659007, 0.0, 0.011490950876185005, 0.06722206262568227, 0.0011490950876185005, 0.0560183855214019, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.03045101982189026, 0.0, 0.0, 0.0, 0.018385521401896008, 0.1568514794599253, 0.06880206837115771, 0.03619649525998277, 0.05056018385521402, 0.0744039069232979, 0.02571100258546395, 0.02815282964665326, 0.0, 0.036771042803792016, 0.05573111174949727, 0.013789141051422005, 0.0]
11;110.0;[0.010916403332375754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1028440103418558, 0.01910370583165757, 0.07842573972996265, 0.030163746049985635, 0.032749209997127264, 0.0366274059178397, 0.0, 0.0, 0.06779661016949153, 0.013789141051422005, 0.004596380350474002, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04079287561045677, 0.1967825337546682, 0.029589198506176386, 0.036771042803792016, 0.05874748635449584, 0.06305659293306522, 0.06262568227520827, 0.06779661016949153, 0.032174662453318015, 0.061476587187589776, 0.0, 0.0]
13;130.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008043665613329504, 0.13904050560183856, 0.0, 0.0, 0.0034472852628555013, 0.021258259120942258, 0.0, 0.0, 0.016087331226659007, 0.0034472852628555013, 0.0, 0.0]
14;140.0;[0.0, 0.0, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.0, 0.03964378052283826, 0.05860384946854352, 0.09709853490376329, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.05860384946854352, 0.009192760700948004, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.0068945705257110025, 0.08603849468543522, 0.001292731973570813, 0.0, 0.0, 0.005745475438092502, 0.05917839701235277, 0.0, 0.11433496121804079, 0.011490950876185005, 0.0, 0.0, 0.02642918701522551, 0.06377477736282677, 0.02585463947141626, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.04883654122378627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06478023556449296, 0.0, 0.0068945705257110025, 0.14248779086469404, 0.012065498419994254, 0.0, 0.0, 0.010916403332375754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.06607296753806377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008761850043091065, 0.0, 0.04337833955759839, 0.10600402183280666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.06305659293306522, 0.0014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008618213157138753, 0.10571674806090205, 0.0, 0.014938236139040505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
19;190.0;[0.001292731973570813, 0.07153116920425165, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.07727664464234416, 0.018960068945705257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.010916403332375754, 0.0, 0.0]
20;200.0;[0.0, 0.04883654122378627, 0.04941108876759552, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.051996552714737146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06607296753806377, 0.004021832806664752, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.06549841999425453, 0.016087331226659007, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.05228382648664177, 0.010916403332375754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04222924446997989, 0.0, 0.0, 0.0]
22;220.0;[0.004596380350474002, 0.0, 0.04136742315426602, 0.04021832806664752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0629129560471129, 0.013789141051422005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021401896006894572, 0.0, 0.0, 0.0]
23;230.0;[0.0, 0.03389830508474576, 0.0, 0.05400746911806952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09480034472852629, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013358230393565068, 0.0, 0.0, 0.0]
24;240.0;[0.0, 0.03964378052283826, 0.031025567365699513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.06549841999425453, 0.0, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.0]
25;250.0;[0.0, 0.0, 0.05630565929330652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03476012640045964, 0.027865555874748635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
26;260.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004883654122378627, 0.053720195346164894, 0.005745475438092502, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0, 0.037920137891410514, 0.0, 0.0, 0.0]
27;270.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03332375754093651, 0.005170927894283252, 0.05630565929330652, 0.010916403332375754, 0.0, 0.0]
28;280.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.013214593507612756, 0.0, 0.0, 0.0, 0.0, 0.1131858661304223, 0.043091065785693765, 0.0, 0.0, 0.0]
29;290.0;[0.0, 0.0, 0.0, 0.0, 0.016374604998563632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03447285262855501, 0.02642918701522551, 0.0, 0.0, 0.0, 0.0]
30;300.0;[0.0, 0.0, 0.0, 0.0, 0.006032749209997127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026860097673082447, 0.01852915828784832, 0.0, 0.05228382648664177, 0.015512783682849756, 0.04079287561045677, 0.0, 0.0, 0.0, 0.0]
31;310.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002872737719046251, 0.004596380350474002, 0.031025567365699513, 0.0, 0.0, 0.0068945705257110025, 0.08273484630853203, 0.0, 0.0, 0.0, 0.0]
32;320.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.010916403332375754, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0]
33;330.0;[0.0, 0.0, 0.0, 0.0, 0.016661878770468257, 0.02240735420856076, 0.05688020683711577, 0.06779661016949153, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
34;340.0;[0.0, 0.0, 0.0, 0.02355644929617926, 0.032749209997127264, 0.016087331226659007, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024130996839988508, 0.012640045963803505]
35;350.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.0]
36;360.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024130996839988508, 0.0, 0.0, 0.0, 0.0, 0.02642918701522551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
37;370.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02298190175237001, 0.0]
38;380.0;[0.0, 0.0, 0.0, 0.0, 0.017236426314277506, 0.0, 0.0, 0.0, 0.02987647227808101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
39;390.0;[0.0, 0.0, 0.0, 0.011490950876185005, 0.02470554438379776, 0.0068945705257110025, 0.03619649525998277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
40;400.0;[0.01350186727951738, 0.033036483769031885, 0.008618213157138753, 0.013789141051422005, 0.005170927894283252, 0.0, 0.018385521401896008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014938236139040505, 0.02585463947141626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002]
41;410.0;[0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.018960068945705257, 0.006032749209997127, 0.04854926745188164, 0.0, 0.0, 0.0, 0.0, 0.0]
42;420.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.012640045963803505, 0.04481470841712152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
43;430.0;[0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04136742315426602, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0]
44;440.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
45;450.0;[0.0, 0.0, 0.002298190175237001, 0.004596380350474002, 0.024992818155702385, 0.0, 0.0, 0.0, 0.0, 0.0008618213157138753, 0.03619649525998277, 0.0, 0.0, 0.02815282964665326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
46;460.0;[0.0, 0.0, 0.004740017236426314, 0.0423728813559322, 0.016374604998563632, 0.0, 0.0, 0.0, 0.0, 0.01465096236713588, 0.05400746911806952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007612754955472565, 0.00043091065785693766, 0.0, 0.0]
47;470.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.02757828210284401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
48;480.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018672795173800632, 0.0, 0.02528009192760701, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
49;490.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.03447285262855501, 0.041941970698075266, 0.0, 0.0, 0.02470554438379776, 0.0412237862683137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.007469118069520253, 0.011634587762137317, 0.004452743464521689]
50;500.0;[0.018960068945705257, 0.0, 0.0, 0.018385521401896008, 0.0, 0.0, 0.002872737719046251, 0.0, 0.0, 0.04050560183855214, 0.03590922148807814, 0.0, 0.0, 0.014794599253088193, 0.0, 0.0, 0.02700373455903476, 0.004596380350474002, 0.0011490950876185005, 0.002298190175237001]
51;510.0;[0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0068945705257110025, 0.032174662453318015, 0.02298190175237001, 0.023700086182131572, 0.007469118069520253, 0.0, 0.0, 0.0, 0.0, 0.0]
52;520.0;[0.0, 0.02987647227808101, 0.02068371157713301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036771042803792016, 0.005745475438092502, 0.02528009192760701, 0.011347313990232692, 0.021258259120942258, 0.0, 0.006320022981901752, 0.004596380350474002, 0.0, 0.0, 0.0034472852628555013]
53;530.0;[0.02355644929617926, 0.024130996839988508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.08905486929043378, 0.05357655846021258, 0.0011490950876185005, 0.012640045963803505, 0.0, 0.0, 0.0, 0.0]
54;540.0;[0.0, 0.015512783682849756, 0.0, 0.0, 0.020540074691180694, 0.04783108302212008, 0.03045101982189026, 0.0, 0.0, 0.0, 0.04610744039069233, 0.001292731973570813, 0.06779661016949153, 0.07842573972996265, 0.02068371157713301, 0.0, 0.04136742315426602, 0.0, 0.0, 0.0]
55;550.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0, 0.00617638609594944, 0.04179833381212295, 0.08216029876472278, 0.008905486929043378, 0.04711289859235852, 0.0, 0.0, 0.0, 0.017810973858086755, 0.0]
56;560.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.042516518241884516, 0.011490950876185005, 0.0]
57;570.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02642918701522551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.0, 0.0, 0.0]
58;580.0;[0.0, 0.0, 0.010916403332375754, 0.016661878770468257, 0.0, 0.0, 0.0, 0.0, 0.005745475438092502, 0.02298190175237001, 0.0, 0.0, 0.018241884515943694, 0.02427463372594082, 0.0, 0.0, 0.0, 0.0, 0.016661878770468257, 0.0]
59;590.0;[0.0, 0.012640045963803505, 0.017236426314277506, 0.017810973858086755, 0.0, 0.0, 0.0, 0.0, 0.02240735420856076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.018960068945705257, 0.0017236426314277506]
60;600.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001292731973570813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043665613329503014, 0.0, 0.0, 0.0, 0.0]
61;610.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0008618213157138753, 0.0, 0.0, 0.0, 0.00502729100833094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
62;620.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.002585463947141626, 0.0, 0.0, 0.0, 0.0, 0.007469118069520253, 0.03389830508474576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
63;630.0;[0.0, 0.0, 0.0017236426314277506, 0.0, 0.009767308244757253, 0.05917839701235277, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.0011490950876185005, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0]
64;640.0;[0.0, 0.0, 0.0, 0.012065498419994254, 0.04481470841712152, 0.019247342717609882, 0.0675093363975869, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
65;650.0;[0.0, 0.0, 0.0, 0.013789141051422005, 0.05616202240735421, 0.06851479459925308, 0.06837115771330078, 0.0, 0.0, 0.0, 0.0, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
