;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01910370583165757, 0.023412812410226948, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012065498419994254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017810973858086755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021832806664751507, 0.0, 0.0, 0.0]
18;180.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.02068371157713301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018385521401896008, 0.02757828210284401, 0.0]
19;190.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.002585463947141626, 0.029589198506176386, 0.031025567365699513, 0.009192760700948004, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008043665613329504, 0.0, 0.009192760700948004, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.06032749209997127, 0.03504740017236426, 0.022263717322608446, 0.018385521401896008, 0.0, 0.02298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03332375754093651, 0.0, 0.02585463947141626, 0.0005745475438092502]
21;210.0;[0.02642918701522551, 0.0, 0.0, 0.004596380350474002, 0.03964378052283826, 0.038494685435219764, 0.036771042803792016, 0.040936512496409075, 0.031025567365699513, 0.009192760700948004, 0.032174662453318015, 0.0017236426314277506, 0.004596380350474002, 0.0, 0.0, 0.0, 0.04854926745188164, 0.0, 0.05228382648664177, 0.01522550991094513]
22;220.0;[0.032749209997127264, 0.018960068945705257, 0.0, 0.010916403332375754, 0.04538925596093077, 0.0331801206549842, 0.02585463947141626, 0.008043665613329504, 0.03964378052283826, 0.0, 0.02470554438379776, 0.017236426314277506, 0.0, 0.0, 0.0011490950876185005, 0.0068945705257110025, 0.06923297902901465, 0.0, 0.06837115771330078, 0.0002872737719046251]
23;230.0;[0.0, 0.0, 0.0, 0.004596380350474002, 0.05285837403045102, 0.0024418270611893133, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.030020109164033325, 0.02800919276070095, 0.02010916403332376, 0.048261993679977015, 0.09250215455328928, 0.06980752657282391, 0.1463659867854065, 0.011347313990232692]
24;240.0;[0.0, 0.018960068945705257, 0.0, 0.0, 0.0, 0.005745475438092502, 0.009767308244757253, 0.002872737719046251, 0.05630565929330652, 0.03389830508474576, 0.036771042803792016, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0017236426314277506, 0.07526572823901177, 0.0]
25;250.0;[0.02987647227808101, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.13990232691755242, 0.029589198506176386, 0.009192760700948004, 0.0, 0.10054582016661878, 0.03045101982189026, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0, 0.0, 0.057454754380925024, 0.0005745475438092502, 0.0]
