;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.002872737719046251, 0.0017236426314277506, 0.005170927894283252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018385521401896008, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021258259120942258, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.008043665613329504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008618213157138753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07469118069520253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05688020683711577, 0.0, 0.0, 0.0, 0.020970985349037633, 0.08101120367710428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04323470267164608, 0.031169204251651823, 0.0, 0.0, 0.053720195346164894, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
19;190.0;[0.00560183855214019, 0.025998276357368573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008043665613329504, 0.0, 0.014938236139040505, 0.031025567365699513, 0.04653835104854927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.0, 0.028296466532605574, 0.02930192473427176, 0.0, 0.0, 0.02355644929617926, 0.02700373455903476, 0.03160011490950876, 0.06449296179258834, 0.08862395863257684, 0.02571100258546395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.0, 0.0, 0.06133295030163746, 0.04596380350474002, 0.018960068945705257, 0.0, 0.02298190175237001, 0.04711289859235852, 0.06894570525711002, 0.03720195346164895, 0.12726228095374892, 0.026716460787130136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.0, 0.0, 0.0, 0.0, 0.06722206262568227, 0.05242746337259408, 0.04021832806664752, 0.0, 0.0043091065785693765, 0.0777075553002011, 0.026285550129273198, 0.02528009192760701, 0.07526572823901177, 0.042516518241884516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
23;230.0;[0.0, 0.0, 0.0, 0.0, 0.024130996839988508, 0.013070956621660442, 0.004596380350474002, 0.016661878770468257, 0.06463659867854064, 0.055012927319735706, 0.026572823901177822, 0.09882217753519104, 0.03447285262855501, 0.0, 0.008618213157138753, 0.05056018385521402, 0.010916403332375754, 0.0, 0.09594943981614479, 0.012640045963803505]
24;240.0;[0.0, 0.08158575122091354, 0.05242746337259408, 0.0354783108302212, 0.07124389543234702, 0.06679115196782534, 0.09307670209709853, 0.09537489227233553, 0.11060040218328067, 0.008330939385234128, 0.09020396437805228, 0.18500430910657856, 0.04323470267164608, 0.010341855788566504, 0.007469118069520253, 0.0, 0.0043091065785693765, 0.07842573972996265, 0.09767308244757254, 0.017236426314277506]
25;250.0;[0.002298190175237001, 0.009192760700948004, 0.0, 0.0, 0.033036483769031885, 0.04352197644355071, 0.017092789428325195, 0.04840563056592933, 0.04567652973283539, 0.03590922148807814, 0.0857512209135306, 0.08086756679115197, 0.023412812410226948, 0.011490950876185005, 0.005745475438092502, 0.037345590347601265, 0.13214593507612754, 0.04165469692617064, 0.033036483769031885, 0.03935650675093364]
26;260.0;[0.05630565929330652, 0.057454754380925024, 0.047687446136167766, 0.0, 0.014938236139040505, 0.08431485205400747, 0.009192760700948004, 0.0, 0.002298190175237001, 0.0005745475438092502, 0.06434932490663603, 0.016087331226659007, 0.018385521401896008, 0.010916403332375754, 0.0, 0.08388394139615053, 0.14938236139040506, 0.048261993679977015, 0.06090203964378052, 0.0]
27;270.0;[0.037345590347601265, 0.06894570525711002, 0.011490950876185005, 0.0, 0.01580005745475438, 0.001292731973570813, 0.036771042803792016, 0.009192760700948004, 0.005889112324044815, 0.014794599253088193, 0.002298190175237001, 0.0, 0.0, 0.010916403332375754, 0.0, 0.07411663315139327, 0.10485492674518816, 0.03705831657569664, 0.010629129560471129, 0.0]
28;280.0;[0.021258259120942258, 0.0068945705257110025, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038494685435219764, 0.0, 0.015512783682849756, 0.0, 0.03562194771617351, 0.0, 0.04969836253950014, 0.1374604998563631, 0.07411663315139327, 0.10112036771042804, 0.0068945705257110025, 0.0]
