;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024130996839988508, 0.014938236139040505, 0.07411663315139327, 0.08675667911519679, 0.03447285262855501, 0.0, 0.0, 0.03045101982189026, 0.041941970698075266, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.015512783682849756, 0.016661878770468257, 0.0017236426314277506, 0.0, 0.0, 0.003878195920712439, 0.030594656707842574, 0.01522550991094513, 0.06434932490663603, 0.08560758402757829, 0.02585463947141626, 0.013789141051422005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.016087331226659007, 0.12065498419994254, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.06463659867854064, 0.14564780235564492, 0.1269750071818443, 0.008618213157138753, 0.0007181844297615628, 0.02240735420856076, 0.04424016087331226, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.04883654122378627, 0.0, 0.06032749209997127, 0.12869864981327206, 0.004596380350474002, 0.0, 0.004596380350474002, 0.0017236426314277506, 0.013789141051422005, 0.13473139902326917, 0.06765297328353921, 0.028871014076414823, 0.05673656995116346, 0.06664751508187303, 0.0, 0.009192760700948004, 0.018385521401896008, 0.0, 0.0, 0.0]
4;40.0;[0.032749209997127264, 0.004596380350474002, 0.0, 0.004596380350474002, 0.09135305946567078, 0.0, 0.015512783682849756, 0.009336397586900316, 0.0, 0.05515656420568802, 0.17710428037920137, 0.008043665613329504, 0.10916403332375754, 0.0, 0.03045101982189026, 0.0, 0.02068371157713301, 0.04481470841712152, 0.012640045963803505, 0.0]
5;50.0;[0.0, 0.018385521401896008, 0.03964378052283826, 0.0, 0.07698937087043953, 0.1108876759551853, 0.0034472852628555013, 0.04151106004021833, 0.036771042803792016, 0.06377477736282677, 0.0721057167480609, 0.08345303073829359, 0.02757828210284401, 0.0, 0.043091065785693765, 0.010916403332375754, 0.0011490950876185005, 0.0, 0.038494685435219764, 0.016087331226659007]
6;60.0;[0.032174662453318015, 0.016661878770468257, 0.18328066647515082, 0.09307670209709853, 0.09523125538638322, 0.13243320884803217, 0.2253662740591784, 0.008905486929043378, 0.043665613329503014, 0.0, 0.03260557311117495, 0.004740017236426314, 0.0, 0.0, 0.004021832806664752, 0.0, 0.0, 0.0, 0.027721918988796324, 0.020540074691180694]
7;70.0;[0.0, 0.013214593507612756, 0.04711289859235852, 0.1269750071818443, 0.1052858374030451, 0.02240735420856076, 0.12266590060327492, 0.018241884515943694, 0.016661878770468257, 0.0, 0.032749209997127264, 0.0, 0.05688020683711577, 0.005745475438092502, 0.007469118069520253, 0.05285837403045102, 0.0, 0.005745475438092502, 0.029445561620224072, 0.0]
8;80.0;[0.0, 0.018960068945705257, 0.14622234989945418, 0.2312553863832232, 0.1878770468256248, 0.06377477736282677, 0.005745475438092502, 0.03447285262855501, 0.0, 0.0, 0.0, 0.05515656420568802, 0.06693478885377765, 0.02427463372594082, 0.0, 0.031025567365699513, 0.018960068945705257, 0.005458201666187877, 0.03476012640045964, 0.0]
9;90.0;[0.0, 0.018385521401896008, 0.0, 0.0008618213157138753, 0.010341855788566504, 0.0, 0.018960068945705257, 0.002298190175237001, 0.0, 0.0, 0.0, 0.002872737719046251, 0.09738580867566791, 0.00043091065785693766, 0.0, 0.02815282964665326, 0.053720195346164894, 0.320310255673657, 0.024130996839988508, 0.0]
10;100.0;[0.0, 0.0, 0.019534616489514506, 0.062051134731399026, 0.004596380350474002, 0.018960068945705257, 0.0, 0.10442401608733122, 0.03964378052283826, 0.0, 0.0, 0.0, 0.0755530020109164, 0.06492387245044527, 0.12956047112898592, 0.24446997989083596, 0.1762424590634875, 0.007038207411663315, 0.0068945705257110025, 0.0]
11;110.0;[0.0, 0.0, 0.02757828210284401, 0.033036483769031885, 0.05285837403045102, 0.12611318586613043, 0.030738293593794888, 0.07655846021258259, 0.021832806664751507, 0.0, 0.0, 0.0, 0.10313128411376041, 0.0, 0.044671071531169206, 0.08287848319448435, 0.0, 0.0, 0.02240735420856076, 0.015512783682849756]
12;120.0;[0.0, 0.0, 0.03504740017236426, 0.0, 0.0, 0.08158575122091354, 0.02010916403332376, 0.048261993679977015, 0.16432059752944556, 0.055874748635449584, 0.016661878770468257, 0.023987359954036197, 0.08043665613329504, 0.02987647227808101, 0.18845159436943407, 0.02355644929617926, 0.0, 0.04481470841712152, 0.05056018385521402, 0.02240735420856076]
13;130.0;[0.0, 0.02528009192760701, 0.03131284113760414, 0.0, 0.013789141051422005, 0.0011490950876185005, 0.0017236426314277506, 0.0, 0.07914392415972421, 0.07124389543234702, 0.002298190175237001, 0.059322033898305086, 0.02082734846308532, 0.11016949152542373, 0.009192760700948004, 0.0011490950876185005, 0.016087331226659007, 0.10571674806090205, 0.07009480034472852, 0.0]
