;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038494685435219764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.008761850043091065, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.020540074691180694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02700373455903476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01005458201666188, 0.009192760700948004, 0.013214593507612756, 0.0, 0.016374604998563632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007469118069520253, 0.03476012640045964, 0.002298190175237001, 0.0, 0.0, 0.01177822464808963, 0.012065498419994254, 0.0, 0.02987647227808101, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06320022981901752, 0.04021832806664752, 0.009767308244757253, 0.02528009192760701, 0.0, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.036771042803792016, 0.0, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014938236139040505, 0.017236426314277506, 0.0, 0.06894570525711002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011490950876185005, 0.04668198793450158, 0.023412812410226948, 0.009192760700948004, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.031025567365699513, 0.0, 0.03389830508474576, 0.0]
14;140.0;[0.0, 0.0, 0.0, 0.002298190175237001, 0.02700373455903476, 0.0, 0.0, 0.05817293881068659, 0.0, 0.0, 0.0, 0.0, 0.005745475438092502, 0.0, 0.0, 0.037920137891410514, 0.007469118069520253, 0.026141913243320884, 0.0594656707842574, 0.0034472852628555013]
15;150.0;[0.0, 0.0, 0.013214593507612756, 0.047687446136167766, 0.0011490950876185005, 0.0, 0.0, 0.06190749784544671, 0.03447285262855501, 0.0, 0.0017236426314277506, 0.018385521401896008, 0.02642918701522551, 0.006320022981901752, 0.02757828210284401, 0.0, 0.05975294455616202, 0.015512783682849756, 0.07871301350186728, 0.017236426314277506]
16;160.0;[0.02298190175237001, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.009910945130709566, 0.06952025280091928, 0.0, 0.002872737719046251, 0.0011490950876185005, 0.0, 0.0, 0.02987647227808101, 0.008043665613329504, 0.04596380350474002, 0.10126400459638035, 0.016661878770468257, 0.011490950876185005, 0.02642918701522551]
17;170.0;[0.0709566216604424, 0.002298190175237001, 0.02585463947141626, 0.016087331226659007, 0.0, 0.0, 0.03045101982189026, 0.03605285837403045, 0.005745475438092502, 0.041941970698075266, 0.0, 0.0, 0.029589198506176386, 0.11778224648089629, 0.04337833955759839, 0.028727377190462512, 0.04352197644355071, 0.0, 0.06377477736282677, 0.0]
18;180.0;[0.0594656707842574, 0.03964378052283826, 0.028727377190462512, 0.024130996839988508, 0.0, 0.06032749209997127, 0.002298190175237001, 0.019534616489514506, 0.09135305946567078, 0.0068945705257110025, 0.0, 0.0, 0.09652398735995403, 0.07641482332663029, 0.0, 0.00043091065785693766, 0.0, 0.057454754380925024, 0.011490950876185005, 0.02571100258546395]
19;190.0;[0.0, 0.16029876472278082, 0.04998563631140477, 0.02585463947141626, 0.0, 0.0, 0.0, 0.10629129560471129, 0.0, 0.0, 0.0, 0.09365124964090779, 0.16087331226659007, 0.021258259120942258, 0.0, 0.06276931916116059, 0.04424016087331226, 0.06607296753806377, 0.03045101982189026, 0.011634587762137317]
20;200.0;[0.02757828210284401, 0.10557311117494973, 0.05975294455616202, 0.0, 0.05357655846021258, 0.09623671358804942, 0.09120942257971847, 0.02197644355070382, 0.0, 0.002585463947141626, 0.0, 0.06320022981901752, 0.011490950876185005, 0.07009480034472852, 0.0, 0.06018385521401896, 0.07239299051996553, 0.0, 0.02298190175237001, 0.0]
21;210.0;[0.016087331226659007, 0.03404194197069808, 0.05228382648664177, 0.012065498419994254, 0.05228382648664177, 0.09322033898305085, 0.07009480034472852, 0.0, 0.02585463947141626, 0.029589198506176386, 0.04021832806664752, 0.03906923297902901, 0.08101120367710428, 0.08503303648376903, 0.0, 0.07081298477449009, 0.02700373455903476, 0.03332375754093651, 0.02470554438379776, 0.0]
