;profondeur_(mm);root_proportion
0;0.0;[0.0005745475438092502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03562194771617351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.04883654122378627, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.010341855788566504, 0.0, 0.0, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013789141051422005, 0.015512783682849756, 0.02757828210284401, 0.009192760700948004, 0.0, 0.0, 0.0, 0.02815282964665326, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.016087331226659007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017236426314277506, 0.04840563056592933, 0.0308819304797472, 0.0, 0.0, 0.0, 0.006320022981901752, 0.031025567365699513, 0.09020396437805228, 0.05056018385521402, 0.02815282964665326, 0.0, 0.0]
5;50.0;[0.010916403332375754, 0.08445848893995977, 0.002872737719046251, 0.0, 0.0005745475438092502, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007756391841424878, 0.0, 0.008618213157138753, 0.07569663889686871, 0.16676242459063487, 0.002298190175237001, 0.0011490950876185005, 0.0, 0.0]
6;60.0;[0.04941108876759552, 0.043091065785693765, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.062051134731399026, 0.04567652973283539, 0.02528009192760701, 0.04711289859235852, 0.07871301350186728, 0.014363688595231256, 0.013789141051422005, 0.047687446136167766, 0.037920137891410514, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05170927894283252, 0.0, 0.02987647227808101, 0.0847457627118644, 0.09968399885090491, 0.16259695489801781, 0.05343292157426027, 0.018960068945705257, 0.06564205688020684, 0.02571100258546395]
8;80.0;[0.0, 0.014938236139040505, 0.0017236426314277506, 0.0, 0.014363688595231256, 0.03045101982189026, 0.02068371157713301, 0.0, 0.0, 0.02470554438379776, 0.0972421717897156, 0.07181844297615628, 0.044096523987359956, 0.06334386670496983, 0.15239873599540363, 0.10729675380637747, 0.05343292157426027, 0.0017236426314277506, 0.10054582016661878, 0.0]
9;90.0;[0.10973858086756678, 0.08445848893995977, 0.05056018385521402, 0.0017236426314277506, 0.008330939385234128, 0.010916403332375754, 0.0, 0.0, 0.0, 0.057454754380925024, 0.06248204538925596, 0.007469118069520253, 0.08790577420281528, 0.1315713875323183, 0.014794599253088193, 0.0972421717897156, 0.05228382648664177, 0.05285837403045102, 0.08761850043091066, 0.0]
10;100.0;[0.18687158862395864, 0.009192760700948004, 0.0, 0.0, 0.01120367710428038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02470554438379776, 0.02585463947141626, 0.03447285262855501, 0.037920137891410514, 0.11304222924446998, 0.05242746337259408, 0.06262568227520827, 0.09250215455328928, 0.018672795173800633, 0.0]
11;110.0;[0.06535478310830221, 0.02528009192760701, 0.014938236139040505, 0.04538925596093077, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010341855788566504, 0.0, 0.048261993679977015, 0.12984774490089054, 0.004596380350474002, 0.07296753806377478, 0.03145647802355645, 0.023700086182131572, 0.006320022981901752, 0.0]
12;120.0;[0.07828210284401034, 0.028440103418557884, 0.0, 0.002872737719046251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15986785406492388, 0.09106578569376617, 0.06075840275782821, 0.12022407354208561, 0.1016949152542373, 0.06320022981901752, 0.0, 0.0]
13;130.0;[0.013789141051422005, 0.008761850043091065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011490950876185005, 0.10858948577994829, 0.08287848319448435, 0.02585463947141626, 0.025136455041654696, 0.036340132145935074, 0.008043665613329504, 0.10226946279804654, 0.009767308244757253, 0.0]
14;140.0;[0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09709853490376329, 0.043091065785693765, 0.0, 0.020396437805228384, 0.03533467394426889, 0.09810399310542947, 0.01565642056880207, 0.08675667911519679, 0.031025567365699513, 0.0]
15;150.0;[0.018385521401896008, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.032749209997127264, 0.037920137891410514, 0.02068371157713301, 0.06794024705544384, 0.11174949727089917, 0.0869003160011491, 0.0, 0.0]
16;160.0;[0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031025567365699513, 0.04021832806664752, 0.1614478598103993, 0.05056018385521402, 0.0]
17;170.0;[0.0, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.0, 0.0011490950876185005, 0.02240735420856076, 0.0]
18;180.0;[0.0, 0.0, 0.0, 0.0, 0.016661878770468257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002872737719046251, 0.0, 0.0, 0.0, 0.0]
19;190.0;[0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.042516518241884516, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0, 0.02528009192760701, 0.0, 0.0, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03619649525998277, 0.03389830508474576, 0.0, 0.017810973858086755, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028727377190462512, 0.057454754380925024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02298190175237001, 0.0, 0.0, 0.02298190175237001, 0.012065498419994254, 0.0, 0.0]
23;230.0;[0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.012640045963803505, 0.0, 0.0, 0.09594943981614479, 0.05860384946854352, 0.016661878770468257, 0.016661878770468257, 0.0]
24;240.0;[0.0, 0.0, 0.004596380350474002, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016661878770468257, 0.008043665613329504, 0.0, 0.008043665613329504, 0.03332375754093651, 0.04021832806664752, 0.012640045963803505, 0.0, 0.0]
25;250.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.010629129560471129, 0.0, 0.06262568227520827, 0.04021832806664752, 0.037345590347601265, 0.06320022981901752, 0.04941108876759552, 0.0, 0.0, 0.0011490950876185005, 0.0, 0.0]
26;260.0;[0.0, 0.018385521401896008, 0.0, 0.0, 0.0, 0.0011490950876185005, 0.0, 0.0, 0.05084745762711865, 0.0, 0.0034472852628555013, 0.016087331226659007, 0.05170927894283252, 0.02010916403332376, 0.0, 0.0, 0.0005745475438092502, 0.04912381499569089, 0.0, 0.0]
27;270.0;[0.0, 0.0, 0.009192760700948004, 0.0, 0.0034472852628555013, 0.02585463947141626, 0.0, 0.0, 0.043091065785693765, 0.0, 0.02240735420856076, 0.047687446136167766, 0.0, 0.0, 0.0, 0.021258259120942258, 0.05228382648664177, 0.04567652973283539, 0.013789141051422005, 0.0]
28;280.0;[0.0, 0.0, 0.012640045963803505, 0.005170927894283252, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02010916403332376, 0.0, 0.057454754380925024, 0.013214593507612756, 0.032174662453318015, 0.0, 0.0]
