;profondeur_(mm);root_proportion
0;0.0;[0.005745475438092502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06607296753806377, 0.1016949152542373, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06320022981901752, 0.01005458201666188, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021258259120942258, 0.0514220051709279, 0.0011490950876185005, 0.0, 0.0, 0.010916403332375754, 0.0, 0.0, 0.0, 0.012640045963803505, 0.08388394139615053, 0.020970985349037633, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021545532892846882, 0.08302212008043666, 0.01005458201666188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07239299051996553, 0.02815282964665326, 0.0]
3;30.0;[0.0, 0.0, 0.004596380350474002, 0.018960068945705257, 0.0, 0.0, 0.0, 0.0, 0.018241884515943694, 0.1294168342430336, 0.06779661016949153, 0.0, 0.018385521401896008, 0.0, 0.0, 0.0, 0.031025567365699513, 0.10916403332375754, 0.03906923297902901, 0.006320022981901752]
4;40.0;[0.0, 0.0, 0.0, 0.009192760700948004, 0.012640045963803505, 0.005458201666187877, 0.008330939385234128, 0.004596380350474002, 0.026860097673082447, 0.04337833955759839, 0.08273484630853203, 0.05170927894283252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08216029876472278, 0.05688020683711577, 0.06032749209997127]
5;50.0;[0.0, 0.0, 0.0, 0.0034472852628555013, 0.028727377190462512, 0.0, 0.0, 0.07296753806377478, 0.011490950876185005, 0.0354783108302212, 0.02470554438379776, 0.02757828210284401, 0.0, 0.03476012640045964, 0.07411663315139327, 0.0, 0.0, 0.08790577420281528, 0.17925883366848608, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016661878770468257, 0.0, 0.002298190175237001, 0.0, 0.012640045963803505, 0.0, 0.0, 0.10399310542947429, 0.029014650962367137, 0.0, 0.0, 0.07110025854639472, 0.018385521401896008, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02355644929617926, 0.02987647227808101, 0.007469118069520253, 0.0005745475438092502, 0.011490950876185005, 0.05917839701235277, 0.0, 0.0, 0.0, 0.08891123240448147, 0.09681126113185866, 0.06090203964378052]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.07727664464234416, 0.042803792013789144, 0.01752370008618213, 0.040361964952599826, 0.09293306521114622, 0.022263717322608446, 0.05788566503878196, 0.0972421717897156, 0.0, 0.028727377190462512, 0.037345590347601265, 0.0005745475438092502, 0.08273484630853203, 0.02757828210284401, 0.02642918701522551]
9;90.0;[0.0, 0.032174662453318015, 0.004596380350474002, 0.0034472852628555013, 0.02010916403332376, 0.04337833955759839, 0.0, 0.0017236426314277506, 0.04869290433783396, 0.06995116345877621, 0.02930192473427176, 0.002298190175237001, 0.010772766446423441, 0.0034472852628555013, 0.0, 0.017236426314277506, 0.01235277219189888, 0.06090203964378052, 0.0, 0.057167480609020396]
10;100.0;[0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.1235277219189888, 0.09192760700948004, 0.014938236139040505, 0.057454754380925024, 0.037345590347601265, 0.02298190175237001, 0.08618213157138753, 0.0, 0.0, 0.0, 0.02470554438379776, 0.058891123240448144, 0.009767308244757253, 0.032749209997127264, 0.020970985349037633]
11;110.0;[0.026860097673082447, 0.026572823901177822, 0.0, 0.0, 0.0, 0.05630565929330652, 0.17538063774777363, 0.11706406205113473, 0.04653835104854927, 0.09422579718471703, 0.0017236426314277506, 0.012065498419994254, 0.05056018385521402, 0.0, 0.016661878770468257, 0.06492387245044527, 0.032749209997127264, 0.07813846595805803, 0.002872737719046251, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.07239299051996553, 0.048261993679977015, 0.16202240735420856, 0.05458201666187877, 0.1670496983625395, 0.009192760700948004, 0.02298190175237001, 0.010341855788566504, 0.02470554438379776, 0.10341855788566504, 0.09077851192186154, 0.036771042803792016, 0.03332375754093651, 0.05400746911806952, 0.0]
13;130.0;[0.0, 0.0, 0.0, 0.0, 0.02585463947141626, 0.041941970698075266, 0.0, 0.0011490950876185005, 0.09939672507900028, 0.07828210284401034, 0.07469118069520253, 0.02987647227808101, 0.0, 0.017810973858086755, 0.05056018385521402, 0.02585463947141626, 0.004021832806664752, 0.0, 0.04668198793450158, 0.0030163746049985635]
14;140.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024130996839988508, 0.10298764722780811, 0.12912956047112897, 0.08675667911519679, 0.0, 0.0, 0.0011490950876185005, 0.02815282964665326, 0.05975294455616202, 0.0, 0.03346739442688883, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04021832806664752, 0.004596380350474002, 0.0343292157426027, 0.11031312841137604, 0.07138753231829933, 0.0, 0.0, 0.018385521401896008, 0.17408790577420283, 0.05056018385521402, 0.0, 0.02025280091927607, 0.0]
16;160.0;[0.0, 0.0, 0.0, 0.017810973858086755, 0.0, 0.0, 0.0, 0.019534616489514506, 0.0, 0.016661878770468257, 0.07138753231829933, 0.09867854064923873, 0.005745475438092502, 0.02010916403332376, 0.01235277219189888, 0.21703533467394426, 0.06391841424877909, 0.043665613329503014, 0.05056018385521402, 0.0]
17;170.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030163746049985635, 0.006607296753806378, 0.11692042516518242, 0.0, 0.0, 0.1108876759551853, 0.14722780810112038, 0.05328928468830796, 0.037920137891410514, 0.05515656420568802, 0.0]
18;180.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.0011490950876185005, 0.07900028727377191, 0.0, 0.0, 0.14220051709278944, 0.048261993679977015, 0.06549841999425453, 0.07641482332663029, 0.0, 0.0]
19;190.0;[0.0, 0.0, 0.0, 0.0, 0.03160011490950876, 0.0, 0.0, 0.0, 0.0, 0.02585463947141626, 0.16546969261706407, 0.03045101982189026, 0.0, 0.0, 0.10801493823613904, 0.0034472852628555013, 0.0, 0.037345590347601265, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031025567365699513, 0.1465096236713588, 0.08848032174662453, 0.017236426314277506, 0.0, 0.04955472565354783, 0.05400746911806952, 0.0, 0.0, 0.0, 0.0, 0.0]
